vid_id,language,duration_bucket,content_type,strategy,strategy_description,video_duration_sec,scene_count,adaptive_scene_count,scene_reduction_vs_adaptive_pct,coverage_15s_pct
en_medium_practical_demo,en,medium,practical_demo,static_cap_20,Post-hoc cap: evenly subsample at most 20 scenes from adaptive index.,324.64,20,21,4.76,71.46
en_medium_practical_demo,en,medium,practical_demo,static_cap_30,Post-hoc cap: evenly subsample at most 30 scenes from adaptive index.,324.64,21,21,0.00,71.46
en_medium_practical_demo,en,medium,practical_demo,uniform_60s,Synthetic time-grid baseline with one anchor every 60 seconds.,324.64,6,21,71.43,52.67
en_medium_practical_demo,en,medium,practical_demo,uniform_30s,Synthetic time-grid baseline with one anchor every 30 seconds.,324.64,11,21,47.62,97.34
en_long_talking_head,en,long,talking_head,adaptive_actual,Saved adaptive scene index used by the manuscript evidence run.,990.68,69,69,0.00,78.73
en_long_talking_head,en,long,talking_head,static_cap_10,Post-hoc cap: evenly subsample at most 10 scenes from adaptive index.,990.68,10,69,85.51,26.14
en_long_talking_head,en,long,talking_head,static_cap_20,Post-hoc cap: evenly subsample at most 20 scenes from adaptive index.,990.68,20,69,71.01,52.89
en_long_talking_head,en,long,talking_head,static_cap_30,Post-hoc cap: evenly subsample at most 30 scenes from adaptive index.,990.68,30,69,56.52,65.01
en_long_talking_head,en,long,talking_head,uniform_60s,Synthetic time-grid baseline with one anchor every 60 seconds.,990.68,17,69,75.36,51.68
en_long_talking_head,en,long,talking_head,uniform_30s,Synthetic time-grid baseline with one anchor every 30 seconds.,990.68,34,69,50.72,99.93
en_long_slide-centric,en,long,slide-centric,adaptive_actual,Saved adaptive scene index used by the manuscript evidence run.,866.48,80,80,0.00,99.14
en_long_slide-centric,en,long,slide-centric,static_cap_10,Post-hoc cap: evenly subsample at most 10 scenes from adaptive index.,866.48,10,80,87.50,30.93
en_long_slide-centric,en,long,slide-centric,static_cap_20,Post-hoc cap: evenly subsample at most 20 scenes from adaptive index.,866.48,20,80,75.00,64.98
en_long_slide-centric,en,long,slide-centric,static_cap_30,Post-hoc cap: evenly subsample at most 30 scenes from adaptive index.,866.48,30,80,62.50,85.52
en_long_slide-centric,en,long,slide-centric,uniform_60s,Synthetic time-grid baseline with one anchor every 60 seconds.,866.48,15,80,81.25,51.93
en_long_slide-centric,en,long,slide-centric,uniform_30s,Synthetic time-grid baseline with one anchor every 30 seconds.,866.48,29,80,63.75,98.79
en_long_screencast,en,long,screencast,adaptive_actual,Saved adaptive scene index used by the manuscript evidence run.,706.16,30,30,0.00,77.60
en_long_screencast,en,long,screencast,static_cap_10,Post-hoc cap: evenly subsample at most 10 scenes from adaptive index.,706.16,10,30,66.67,38.23
en_long_screencast,en,long,screencast,static_cap_20,Post-hoc cap: evenly subsample at most 20 scenes from adaptive index.,706.16,20,30,33.33,65.42
en_long_screencast,en,long,screencast,static_cap_30,Post-hoc cap: evenly subsample at most 30 scenes from adaptive index.,706.16,30,30,0.00,77.60
en_long_screencast,en,long,screencast,uniform_60s,Synthetic time-grid baseline with one anchor every 60 seconds.,706.16,12,30,60.00,50.56
en_long_screencast,en,long,screencast,uniform_30s,Synthetic time-grid baseline with one anchor every 30 seconds.,706.16,24,30,20.00,99.98
en_long_practical_demo,en,long,practical_demo,adaptive_actual,Saved adaptive scene index used by the manuscript evidence run.,1173.51,123,123,0.00,99.96
en_long_practical_demo,en,long,practical_demo,static_cap_10,Post-hoc cap: evenly subsample at most 10 scenes from adaptive index.,1173.51,10,123,91.87,22.16
en_long_practical_demo,en,long,practical_demo,static_cap_20,Post-hoc cap: evenly subsample at most 20 scenes from adaptive index.,1173.51,20,123,83.74,47.72
en_long_practical_demo,en,long,practical_demo,static_cap_30,Post-hoc cap: evenly subsample at most 30 scenes from adaptive index.,1173.51,30,123,75.61,73.11
en_long_practical_demo,en,long,practical_demo,uniform_60s,Synthetic time-grid baseline with one anchor every 60 seconds.,1173.51,20,123,83.74,51.55
en_long_practical_demo,en,long,practical_demo,uniform_30s,Synthetic time-grid baseline with one anchor every 30 seconds.,1173.51,40,123,67.48,99.96
ru_short_talking_head,ru,short,talking_head,adaptive_actual,Saved adaptive scene index used by the manuscript evidence run.,177.61,17,17,0.00,99.66
ru_short_talking_head,ru,short,talking_head,static_cap_10,Post-hoc cap: evenly subsample at most 10 scenes from adaptive index.,177.61,10,17,41.18,95.72
ru_short_talking_head,ru,short,talking_head,static_cap_20,Post-hoc cap: evenly subsample at most 20 scenes from adaptive index.,177.61,17,17,0.00,99.66
ru_short_talking_head,ru,short,talking_head,static_cap_30,Post-hoc cap: evenly subsample at most 30 scenes from adaptive index.,177.61,17,17,0.00,99.66
ru_short_talking_head,ru,short,talking_head,uniform_60s,Synthetic time-grid baseline with one anchor every 60 seconds.,177.61,3,17,82.35,43.92
ru_short_talking_head,ru,short,talking_head,uniform_30s,Synthetic time-grid baseline with one anchor every 30 seconds.,177.61,6,17,64.71,93.46
ru_short_slide-centric,ru,short,slide-centric,adaptive_actual,Saved adaptive scene index used by the manuscript evidence run.,75.96,6,6,0.00,98.74
ru_short_slide-centric,ru,short,slide-centric,static_cap_10,Post-hoc cap: evenly subsample at most 10 scenes from adaptive index.,75.96,6,6,0.00,98.74
ru_short_slide-centric,ru,short,slide-centric,static_cap_20,Post-hoc cap: evenly subsample at most 20 scenes from adaptive index.,75.96,6,6,0.00,98.74
ru_short_slide-centric,ru,short,slide-centric,static_cap_30,Post-hoc cap: evenly subsample at most 30 scenes from adaptive index.,75.96,6,6,0.00,98.74
ru_short_slide-centric,ru,short,slide-centric,uniform_60s,Synthetic time-grid baseline with one anchor every 60 seconds.,75.96,2,6,66.67,60.56
ru_short_slide-centric,ru,short,slide-centric,uniform_30s,Synthetic time-grid baseline with one anchor every 30 seconds.,75.96,3,6,50.00,98.74
ru_short_screencast,ru,short,screencast,adaptive_actual,Saved adaptive scene index used by the manuscript evidence run.,124.56,10,10,0.00,97.94
ru_short_screencast,ru,short,screencast,static_cap_10,Post-hoc cap: evenly subsample at most 10 scenes from adaptive index.,124.56,10,10,0.00,97.94
ru_short_screencast,ru,short,screencast,static_cap_20,Post-hoc cap: evenly subsample at most 20 scenes from adaptive index.,124.56,10,10,0.00,97.94
ru_short_screencast,ru,short,screencast,static_cap_30,Post-hoc cap: evenly subsample at most 30 scenes from adaptive index.,124.56,10,10,0.00,97.94
ru_short_screencast,ru,short,screencast,uniform_60s,Synthetic time-grid baseline with one anchor every 60 seconds.,124.56,3,10,70.00,52.99
ru_short_screencast,ru,short,screencast,uniform_30s,Synthetic time-grid baseline with one anchor every 30 seconds.,124.56,5,10,50.00,99.55
ru_short_practical_demo,ru,short,practical_demo,adaptive_actual,Saved adaptive scene index used by the manuscript evidence run.,181.13,23,23,0.00,99.93
ru_short_practical_demo,ru,short,practical_demo,static_cap_10,Post-hoc cap: evenly subsample at most 10 scenes from adaptive index.,181.13,10,23,56.52,99.93
ru_short_practical_demo,ru,short,practical_demo,static_cap_20,Post-hoc cap: evenly subsample at most 20 scenes from adaptive index.,181.13,20,23,13.04,99.93
ru_short_practical_demo,ru,short,practical_demo,static_cap_30,Post-hoc cap: evenly subsample at most 30 scenes from adaptive index.,181.13,23,23,0.00,99.93
ru_short_practical_demo,ru,short,practical_demo,uniform_60s,Synthetic time-grid baseline with one anchor every 60 seconds.,181.13,4,23,82.61,51.90
ru_short_practical_demo,ru,short,practical_demo,uniform_30s,Synthetic time-grid baseline with one anchor every 30 seconds.,181.13,7,23,69.57,99.93
ru_medium_talking_head,ru,medium,talking_head,adaptive_actual,Saved adaptive scene index used by the manuscript evidence run.,345.50,23,23,0.00,90.30
ru_medium_talking_head,ru,medium,talking_head,static_cap_10,Post-hoc cap: evenly subsample at most 10 scenes from adaptive index.,345.50,10,23,56.52,73.23
ru_medium_talking_head,ru,medium,talking_head,static_cap_20,Post-hoc cap: evenly subsample at most 20 scenes from adaptive index.,345.50,20,23,13.04,88.57
ru_medium_talking_head,ru,medium,talking_head,static_cap_30,Post-hoc cap: evenly subsample at most 30 scenes from adaptive index.,345.50,23,23,0.00,90.30
ru_medium_talking_head,ru,medium,talking_head,uniform_60s,Synthetic time-grid baseline with one anchor every 60 seconds.,345.50,6,23,73.91,49.49
ru_medium_talking_head,ru,medium,talking_head,uniform_30s,Synthetic time-grid baseline with one anchor every 30 seconds.,345.50,12,23,47.83,99.86
ru_medium_slide-centric,ru,medium,slide-centric,adaptive_actual,Saved adaptive scene index used by the manuscript evidence run.,308.50,8,8,0.00,47.97
ru_medium_slide-centric,ru,medium,slide-centric,static_cap_10,Post-hoc cap: evenly subsample at most 10 scenes from adaptive index.,308.50,8,8,0.00,47.97
ru_medium_slide-centric,ru,medium,slide-centric,static_cap_20,Post-hoc cap: evenly subsample at most 20 scenes from adaptive index.,308.50,8,8,0.00,47.97
ru_medium_slide-centric,ru,medium,slide-centric,static_cap_30,Post-hoc cap: evenly subsample at most 30 scenes from adaptive index.,308.50,8,8,0.00,47.97
ru_medium_slide-centric,ru,medium,slide-centric,uniform_60s,Synthetic time-grid baseline with one anchor every 60 seconds.,308.50,6,8,25.00,52.84
ru_medium_slide-centric,ru,medium,slide-centric,uniform_30s,Synthetic time-grid baseline with one anchor every 30 seconds.,308.50,11,8,-37.50,99.84
ru_medium_screencast,ru,medium,screencast,adaptive_actual,Saved adaptive scene index used by the manuscript evidence run.,517.54,51,51,0.00,98.16
ru_medium_screencast,ru,medium,screencast,static_cap_10,Post-hoc cap: evenly subsample at most 10 scenes from adaptive index.,517.54,10,51,80.39,52.94
ru_medium_screencast,ru,medium,screencast,static_cap_20,Post-hoc cap: evenly subsample at most 20 scenes from adaptive index.,517.54,20,51,60.78,88.11
ru_medium_screencast,ru,medium,screencast,static_cap_30,Post-hoc cap: evenly subsample at most 30 scenes from adaptive index.,517.54,30,51,41.18,94.87
