scope,n,b0_rtf_mean,b1_rtf_mean,delta_rtf_mean,b0_rtf_median,b1_rtf_median,b1_vs_b0_ratio
overall,1,0.1807,0.5025,0.3218,0.1807,0.5025,2.781
language:en,1,0.1807,0.5025,0.3218,0.1807,0.5025,2.781
duration:short,1,0.1807,0.5025,0.3218,0.1807,0.5025,2.781
